,Make,Model,Year,Length,Width,Height,ActiveYN,Vehicle Type
13863,GMC,Sierra 1500,2018,205.5,80,74,Y,LG
13864,GMC,Sierra 1500  Double Cab,2018,229.5,80,73.9,Y,LG
13865,GMC,Sierra 1500 Crew Cab,2018,229.5,80,74.2,Y,LG
13866,GMC,Sierra 1500 Crew Cab Denali,2018,239,80,73.8,Y,LG
13868,GMC,Yukon XL 1500,2018,224.3,80.5,74.4,Y,LG
13870,GMC,Savana 2500,2018,224.1,79.2,84.6,Y,LG
13871,GMC,Savana 3500 LS,2018,224.1,79.2,84.5,Y,LG
13872,GMC,Sierra 2500,2018,224.4,80.1,77.8,Y,LG
13873,GMC,Sierra 3500 HD,2018,224.4,80.1,77.8,Y,LG
13874,GMC,Sierra 2500 HD Crew Cab,2018,239.5,80.5,78.3,Y,LG
13875,GMC,Sierra 3500 HD Crew Cab,2018,239.5,80.5,78.3,Y,LG
13886,INFINITI,QX80,2018,208.9,79.9,75.8,Y,LG
13901,LAND ROVER,R. Rover LW S'charged Autobiography Black Ed.,2018,204.7,81.6,72.4,Y,LG
13911,LINCOLN,Navigator,2018,207.4,78.8,78.1,Y,LG
13929,MERCEDES-BENZ,Sprinter 2500,2018,233.1,79.7,96.3,Y,LG
13930,MERCEDES-BENZ,Sprinter 3500,2018,233.1,79.7,110.8,Y,LG
13931,MERCEDES-BENZ,Sprinter 3500 High Roof DRW,2018,273.8,79.7,110.8,N,LG
13932,MERCEDES-BENZ,Sprinter 3500 EXT High Roof DRW,2018,289.8,79.7,110.8,N,LG
13933,MERCEDES-BENZ,Sprinter 2500 Wagon,2018,273.8,79.7,107.5,N,LG
13943,NISSAN,Armada,2018,207.7,79.3,77.2,Y,LG
13944,NISSAN,Frontier King Cab,2018,205.5,72.8,68.7,Y,LG
13945,NISSAN,Frontier Crew Cab,2018,205.5,72.8,70.1,Y,LG
13949,NISSAN,NV 1500,2018,240.6,79.9,83.9,Y,LG
13950,NISSAN,NV 2500,2018,240.6,79.9,83.9,Y,LG
13951,NISSAN,NV 3500,2018,240.6,79.9,84,Y,LG
13955,NISSAN,Titan Crew Cab,2018,224.6,79.5,74.7,Y,LG
13956,NISSAN,Titan King Cab,2018,224.6,79.5,74.6,Y,LG
13957,NISSAN,Titan Crew Cab Pro-4X,2018,224.6,79.5,76.6,Y,LG
13962,RAM,Ram 1500  ,2018,209,79.4,74.6,Y,LG
13963,RAM,Ram Sport,2018,209,79.4,75.2,Y,LG
13964,RAM,Ram Quad Cab 1500,2018,229,79.4,77.2,Y,LG
13965,RAM,Ram Crew Cab 1500,2018,237.9,79.4,76.8,Y,LG
13967,RAM,Ram 2500 ST,2018,231,78.9,73.3,Y,LG
13968,RAM,Ram 3500,2018,230.4,96,76.9,Y,LG
13969,RAM,Ram Crew Cab 2500,2018,237.4,79.1,73.7,Y,LG
13970,RAM,Ram Crew Cab 3500,2018,237.3,79.1,78.4,Y,LG
13971,RAM,Ram Mega Cab 2500,2018,248.4,79.1,74.1,Y,LG
13972,RAM,Ram Mega Cab 3500,2018,248.4,96,78.3,Y,LG
13974,RAM,ProMaster 2500,2018,213.1,82.7,101,Y,LG
13975,RAM,ProMaster 3500,2018,236,82.7,101,Y,LG
13982,TOYOTA,Sequoia,2018,205.1,79.9,74.6,Y,LG
13984,TOYOTA,Tacoma,2018,208.1,72.2,66.1,Y,LG
13985,TOYOTA,Tacoma Double Cab,2018,208.1,74.6,70.1,Y,LG
