@relation car_data

@attribute make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute drive_wheels {rwd,fwd,4wd}
@attribute length numeric
@attribute width numeric
@attribute height numeric
@attribute num_of_doors {two,four}
@attribute body_style {convertible,hatchback,sedan,wagon,hardtop}
@attribute Slot_Size {M,L,S}

@data
alfa-romero,rwd,168.8,64.1,48.8,two,convertible,M
alfa-romero,rwd,168.8,64.1,48.8,two,convertible,M
alfa-romero,rwd,171.2,65.5,52.4,two,hatchback,M
bmw,rwd,176.8,64.8,54.3,two,sedan,M
bmw,rwd,176.8,64.8,54.3,four,sedan,M
bmw,rwd,176.8,64.8,54.3,two,sedan,M
bmw,rwd,176.8,64.8,54.3,four,sedan,M
bmw,rwd,189,66.9,55.7,four,sedan,M
bmw,rwd,189,66.9,55.7,four,sedan,M
bmw,rwd,193.8,67.9,53.7,two,sedan,L
bmw,rwd,197,70.9,56.3,four,sedan,L
isuzu,rwd,170.7,61.8,53.5,four,sedan,S
isuzu,rwd,172.6,65.2,51.4,two,hatchback,M
jaguar,rwd,199.6,69.6,52.8,four,sedan,L
jaguar,rwd,199.6,69.6,52.8,four,sedan,L
jaguar,rwd,191.7,70.6,47.8,two,sedan,L
mazda,rwd,169,65.7,49.6,two,hatchback,M
mazda,rwd,169,65.7,49.6,two,hatchback,M
mazda,rwd,169,65.7,49.6,two,hatchback,M
mazda,rwd,169,65.7,49.6,two,hatchback,M
mazda,rwd,175,66.1,54.4,four,sedan,M
mazda,rwd,175,66.1,54.4,four,sedan,M
mercedes-benz,rwd,190.9,70.3,56.5,four,sedan,L
mercedes-benz,rwd,190.9,70.3,58.7,four,wagon,L
mercedes-benz,rwd,187.5,70.3,54.9,two,hardtop,L
mercedes-benz,rwd,202.6,71.7,56.3,four,sedan,L
mercedes-benz,rwd,202.6,71.7,56.5,four,sedan,L
mercedes-benz,rwd,180.3,70.5,50.8,two,convertible,M
mercedes-benz,rwd,208.1,71.7,56.7,four,sedan,L
mercedes-benz,rwd,199.2,72,55.4,two,hardtop,L
mercury,rwd,178.4,68,54.8,two,hatchback,M
nissan,rwd,170.7,67.9,49.7,two,hatchback,M
nissan,rwd,170.7,67.9,49.7,two,hatchback,M
nissan,rwd,178.5,67.9,49.7,two,hatchback,M
peugot,rwd,186.7,68.4,56.7,four,sedan,L
peugot,rwd,186.7,68.4,56.7,four,sedan,L
peugot,rwd,198.9,68.4,58.7,four,wagon,L
peugot,rwd,198.9,68.4,58.7,four,wagon,L
peugot,rwd,186.7,68.4,56.7,four,sedan,L
peugot,rwd,186.7,68.4,56.7,four,sedan,L
peugot,rwd,198.9,68.4,56.7,four,wagon,L
peugot,rwd,198.9,68.4,58.7,four,wagon,L
peugot,rwd,186.7,68.4,56.7,four,sedan,L
peugot,rwd,186.7,68.4,56.7,four,sedan,L
peugot,rwd,186.7,68.3,56,four,sedan,M
plymouth,rwd,173.2,66.3,50.2,two,hatchback,M
porsche,rwd,168.9,68.3,50.2,two,hatchback,M
porsche,rwd,168.9,65,51.6,two,hardtop,M
porsche,rwd,168.9,65,51.6,two,hardtop,M
porsche,rwd,168.9,65,51.6,two,convertible,M
porsche,rwd,175.7,72.3,50.5,two,hatchback,M
toyota,rwd,168.7,64,52.6,two,sedan,S
toyota,rwd,168.7,64,52.6,two,hatchback,S
toyota,rwd,168.7,64,52.6,two,sedan,S
toyota,rwd,168.7,64,52.6,two,hatchback,S
toyota,rwd,176.2,65.6,52,two,hardtop,M
toyota,rwd,176.2,65.6,52,two,hardtop,M
toyota,rwd,176.2,65.6,52,two,hatchback,M
toyota,rwd,176.2,65.6,52,two,hardtop,M
toyota,rwd,176.2,65.6,52,two,hatchback,M
toyota,rwd,176.2,65.6,53,two,convertible,M
toyota,rwd,183.5,67.7,52,two,hatchback,M
toyota,rwd,183.5,67.7,52,two,hatchback,M
toyota,rwd,187.8,66.5,54.1,four,sedan,M
toyota,rwd,187.8,66.5,54.1,four,wagon,M
volvo,rwd,188.8,67.2,56.2,four,sedan,M
volvo,rwd,188.8,67.2,57.5,four,wagon,M
volvo,rwd,188.8,67.2,56.2,four,sedan,M
volvo,rwd,188.8,67.2,57.5,four,wagon,M
volvo,rwd,188.8,67.2,56.2,four,sedan,M
volvo,rwd,188.8,67.2,57.5,four,wagon,M
volvo,rwd,188.8,68.9,55.5,four,sedan,L
volvo,rwd,188.8,68.8,55.5,four,sedan,L
volvo,rwd,188.8,68.9,55.5,four,sedan,L
